ID,Review,Title,Rating,Date
Amazon Customer,"i bought the momentum 4 after having owned a momentum 3.generally, these are good headphones with quite good sound quality, noise cancellation and and an app to control all the features.following are the challenges that i've found:1. noise cancellation can only be controlled through the app and there is no button or dial (in similiar to the b&o h95 which has a cool dial for controlling the noise cancellation.2. also very annoyingly sen had removed all buttons and there is merely one button to control everything:  power up, pairing, power down - it would have been much better having a dedicated button for on/off and one for pairing at least as you have to otherwise go through long press cycles to get to what you need. so for instance if i want to pair and it's already on, i will have to press long - get it switched off, press long again - get it powered on and continue pressing just for it to get to pairing mode.3. support for multiple paired devices is not great - i've found that if i have more than 2 devices with bluetooth on and i'm trying to connect to a previously paired 3rd device, it's not going to work and i literally have to either switch off bluetooth on the other pair devices, just in order for it to connect to the 3rd device or go through the full pairing process to connect to it.4. equalising is not great - it's based on only 3 main frequencies and when increasing then other frequencies are decreased.5. reset - the only way to supposedly reset is press the single button for over 30 secs but then it's not always working5. reliability - for me that's a big disappointment - my momentum 4 headphones died completely just 2 months after i've purchased it. i was shocked. initially even when it was paired and connected to devices i couldn't hear anything not even it's on voice commands, then i tried to turn it off, but it would never get turned on again. tried to reset but again even when pressing reset for over 30 secs, the only things was a red light flashing once, but reset wasn't working. had the headphones have an on/off button it might not have happened, but that's what happens when you're depending on one button to do everything and then it won't power app again.6. and following all of that my 2nd pair (i bought 3 of these unfortunately for multiple family members) has the same fault. it won't power on again. try to reset pressing the only multi function button and you'll get a blink of a red light after 30 seconds but that's it. won't turn on anymore.i think senheizer reliability with those headphones had dropped to literally zero. paying 300 pounds for a supposed high quality headphones just for them to completely die after a few months is really frustrating.and if it died on you after a few good months you can't even return it and you can only get it sent for repair and you'll have to wait for weeks over weeks with no headphones.stay away from these!",disappointing reliability and control functionality is not best,1.0,20 12 2022
Robert Sutcliffe,"the sound and noise cancellation are great and the design is not special but also not ugly. the main issue i have with these headphones is the inconsistent software user experience. sometimes it connects, and sometimes it doesn't. sometimes it auto pauses, sometimes it doesn't. sometimes it auto powers off and sometimes not. often i've put them on in the morning the battery is dead because they must have decided to stay on all night. often when i put them on it will play spotify when i'm currently watching a youtube video. i'm having to switch off all the smart features because they are kind of dumb. you don't really get a sense of what the power button does. does it switch on or off the headphones? sometimes it does. it just feels like i own an unruly child and not a set of headphones. there have been multiple firmware updates, none of which seem to make these rock solid from a user experience point of view. hoping they sort this out.",great headphones let down by inconsistent software functionality,3.0,03 10 2022
Daniel Kiss,"it is a gread headphone. comrfortable and has amazing sound with a good battery life.however joinong to device to device is a nightmare. if you take of your headphone for a second it is automaticly go sleep, but when you put it back it does not connect to the last paired device and it will not connect for a while... i cannot find word how annoying this headphone can be.i really hope they will fix this as soon as possible.",great headphone- amazing sound - software issues,3.0,10 04 2023
pingufreddy,"the bluetooth sound is very good.  however, its not great; nowhere near the classic sennheiser 600, 650's.  weirdly, the line-in connection (i.e. the wire one) is just awful, i mean really bad.  that's unfortunate as a big use for these is on a flight where you must use the corded connection.  these are just bad in that regard.another complaint; the bluetooth connection doesn't end when you take off/turn off the headset.  your phone is still paired to the headset and all the sounds-phone ring, clicks when typing, alerts go to the unused headphones.  this is not rocket science: apple air bud pros have done it properly for years.overall, i found this set of phones to be unlike sennheiser.  not at all german; much more like a quick knock off from parts unknown.  this may be a good product one day but it is not now an needs a lot of work.  dissapointing.",very good bluetooth; lousy line in and annoying software. un-german,3.0,17 10 2022
W. L. Walker,"surprised to read some of the negative reviews on here, particularly focused on connectivity and the sennheiser app. i've had no issues with either, so i suppose these may have been fixed with firmware updates.the sound quality of the momentum 4's is really impressive and that was the most important factor in making my purchase. noise cancelling is not quite to the level of the sony flagships, but still good. battery life is incredible!overall, really pleased with the momentum 4's and would highly recommend.",impressive sound quality,5.0,18 06 2023
Nikodem Lacki,i read some reviews where people had problems with connectivity and such. not experienced any of this but then on the other hand i made sure that they are running on the latest firmware.it takes a little time to get used to the new style touch controls but i think they work great.the only thing it could work slightly differently is the on/off button. it's not always clear if they are switched on or not so need to press the button for 3s twice. not a biggie for me.,great headphones. great improvement on the momentum 3,5.0,12 06 2023
F. Holden,"great separation, dynamics and musicality. hear it closer to how it was originally recorded. discover subtleties that you didn’t realise were there. unbeatable at the price.",listen to the music,5.0,05 08 2023
Amazon Customer,"love the sound quality. love the battery life. love the noise cancellation. cannot stand the software issues.the app sucks. the headphones bug out frequently. cannot be worn with a hood due to the touch controls. there is only 1 button, which does what it’s supposed to do. most of the time.it’s truly great to have such good sounding and comfortable pair of headphones which have fantastic noise cancellation and insane battery life. it just blows my mind that sennheiser created a pair of headphones which rely so heavily on software, and load it with terribly unreliable software which requires an almost equally unreliable app. so good, but so bad.needed a little longer in the oven.","so good, but so bad.",3.0,23 01 2023
Billy60,"probably only anc, noise cancelling headphones i've found that will allow you to charge/use audio cable whilst using.  however as others have noted the touch controls are not very users friendly, there is an instruction booklet so you can set it up and maybe control some settings via the app on your mobile.  yes buttons would have been better but i've got it for the usb c to a audio/charging cable and that you can use it as a headset, worth it for the price.","usb works as audio cable, can use plugged in, read up on touch buttons",4.0,10 11 2022
Shana,"bought this for long haul flight because of the battery life.sound is pretty decent. nothing to shout home about. however, the anc is pure non sense. it is almost non existing. it only does about 30-40% of sound deduction. no where near a noise cancelling headphone.in the flight, i ended up having a headache as it just could not cancel the engine noise. if you think that's bad.. if you use it in town with the anc to max you can still hear everything around you... which is really annoying when you want to sit at a cafe and work in silence. i have not tried the sony mx1000 but i know for sure that this is not the way to go.on the plus - the build quality is really nice and soft ear pads. hope this helps!",rubbish noise cancellation :(,2.0,15 06 2023
ADS,"comfortable, good anc but the bluetooth is immediately very temparamental and infuriatinghad them 1-2 months now, and use them a lot but i would seriously consider alternatives due to the bluetooth issue. i also use these for work and it consistently causes issues when i join calls",blueooth is infuriating,3.0,15 04 2023
MOCHIII,"i was so excited to get these as someone who had never really had high end headphones before i was persuaded to get sennheiser as you hear nothing but good reviews but as 1st impression, i'm not impressed.let's start with the positives, they're extremely comfy and have some of the best battery life i have seen on the market 60 hrs which is incredibly impressive, you get an airplane adapter as well as a really decent heavy-duty carrying case and the standard charger, but the sound quality is on another level as someone who has only stuck to the cheap pairs of earbuds this was a massive upgrade for me the bass and everything was just phenomenal.now the negatives as to why you should 100% look elsewhere since getting them i have had nothing but issues after a couple of weeks of everything being normal all they do is disconnect over and over and over again i took them on a trip with me and again nothing but disconnection issues to the point where i just gave up, they also mention an app where you can tune everything to your liking, it's horrible it takes forever for your headset to connect and that's if it does since the app is plagued with issues like the headphones.for the whopping price of £300 you would expect very good quality but no i have had better luck with the extremely cheap £30 wireless earbuds than with these and after writing this review i have chosen to refund them as it's just unacceptable(and yes i made sure to update them to the latest firmware, disconnect and re-pair them, i have tried charging them to 100% and nothing solved the issue)the only thing i'm happy about is sennheiser accepting my refund other than that my experience has been extremely disappointing, to say the least.",absoloutely terrible,1.0,24 01 2023
TS88,"6th january 2023: i bought these on the back of how good sennheiser's wired products are. however, i experienced lots of problems connecting these headphones to any of my bluetooth music devices, utterly useless futile. and not for the first time either.  here's the list:1. tried to pair them with my phone, using the latest sennheiser app from the google play store. it demanded to know my location before it would allow me to attempt pairing. warning sign number one - marketing driven. and to be frank, i am very unhappy about anyone knowing my location if i don't see a good reason for it. you're a german company - can you get away with this under german data protection laws and gdpr? i very much doubt that, as it's superfluous to the data you need to capture in order for the device to function. you just want to bombard me with marketing crap. not interested.2. once paired, my music devices could see every bluetooth speaker/ear/headphone device i had, except for the new headphones.3. gave up after an hour of faffing around with it and going what works on every other bluetooth device i own. just way too much hassle to connect, i had been warned about sennheiser's crap ui experience, this  completely underlines the numerous other complaints i had read. what was i thinking.so, sadly £400 of supposedly premium gear going back to amazon uk, pronto, no fault of theirs.get the basics right first sennheiser, instead of shipping devices with fancy cases, which is good to have but peripheral to the core user experience. i have a £20 bluetooth speaker, without a display, which just works, every single time, so i know it's not old gear, or indeed any of my gear, as that works with all of it. ease of connectivity is king with bluetooth devices. sennheiser failed, miserably with this.refund time and more hassle and waiting for my money to be refunded. avoid, avoid, avoid.",the only device i own(ed) which has ever failed to pair. useless.,1.0,06 01 2023
ANTONIOS,"kept randomly disconnecting from paired devices. a week after purchase headphones turned off and stopped working. sound quality was exceptional though.update :excellent sound quality and battery life . do not use  the smart control app as it can cause you headphones to turn off and not turn on or even charge.the headphones itself is an amazing high end product.the connection management feature of the app is faulty, can force your device to die and should be dropped or updated asap",amazing product paired with the worst and most buggy app i’ve seen in a while.,3.0,30 01 2023
Abhinav P.,only got about 3 hours of battery life. the lowest volume setting was uncomfortably loud for me.,received defective,2.0,11 10 2023
Will Cheung,"when it worked, it was beautiful. a huge upgrade on comfort and battery life compared to the momentum 3s, and the anc worked a treat.unfortunately after just a couple of months of use, there's a constant crackling in the left ear when anc is on. this issue also occurred on my first set of momentum 3s until i had them replaced with a new pair of 3s.this would be a  5 star product if not marred by sennheiser's seemingly unreliable hardware that they use for anc.",constant crackling sound after few of months of use,3.0,17 12 2022
Matthew Lightfoot,"good speedy delivery.these headphones are absolutely top notch! a real wow factor when you wear them.pricey, yes, but definitely worth every penny for the sound experience that you just will not get with cheaper headphones.great controls, simple. a nice minimalist design. it doesn't match the funky styling of the previous momentum models (i still love the first pair of momentum 1's i bought) but they are classy in their own right the 4's.quality case supplied, very sturdy for putting in your bag.if you can afford it, just do it.the sound quality alone and the listening experience you get is well worth the price.",just do it.,5.0,05 03 2023
CfrS,"excellent headphoneseverything in the priduct description is correctcomfy, excellent sound quality, battery life amazinghighly recommended",everything i expected,5.0,22 07 2023
Mark Yelland,"paid £299 for these in january 2023, and until late have been reasonably happy with performance overall - though the touch controls take a bit of getting used to.the problem is that they are now 'dead'; can't power on, can't charge.... nada. a little googling reveals this to be a problem experienced by many users. i've done all of the recommended things; hold the power button down for 20 seconds until you get the red light etc etc, but the ones i have here are completely *bricked*my problem of course is that whilst they are obviously still under guarantee, amazon won't take them back as i no longer have the original packaging, so i'm going to have to buy some new ones. one thing i can guarantee; they won't be momentum 4s, and it won't be through amazon.so yes - google ""sennheiser momentum 4 not working"" before buying. don't say you weren't warnedpeace",google 'sennheiser momentum 4 not working' before buying,1.0,27 07 2023
Annette Wood,it switches off then it’s difficult to switch back on. i have sent this item in to be returned for repairs and it was received on the 8/5/23 but i have not heard from the seller/company at all on what is happening to my headphones!  there is no way to contact amazon except via a ridiculous chat system that does not answer my question nor can you chat to customer service on line!,disappointed,2.0,14 06 2023
AK,i bought the momentum tw 3 at first and had problems with the changing so i sent it back and decided to give these a chance.received them yesterday and was instantly amazed  at the sound quality and the amont of bass they were producing. but then after updating them few moments later they started producing clipping/popping on the bass with bass boost on and at max volume specially on the left side. at first i thought ok ill just not turn them to max volume or just keep bass boost off but im sorry for £300 i should not be faced with decisions like this. i expect to be able to pomp out maximum potential without issue.update****they have started distorting even and lower volume or bass bosst off now which leads me to bleave the drivers were faulty out of the box and just got worsereturning them today and its the last time im buying a sennhisser product. its just a shame really as it seems to me the sennhisser brand has unrivalled sound/bass prduction but is just riddled with bugs and problems which completely let them down.,absolute shame,1.0,11 06 2023
RICHARD,had a lot of trouble pairing to my flip 4 phone sometimes it pairs most time it does not. returned as i use my phone mostly for streaming.,android pairing,3.0,23 01 2023
raymond,quire comfortable. easy for bluetooth connection. tells you when it needs charging. control using fingers on the side of earphone not the easiest.,great quality,5.0,10 06 2023
MikeF,"i should be super happy with these - they sound and look great - but the experience of using them is bad.- the touch controls are twitchy and too easy to activate accidentally. a left swipe is often interpreted as an upward swipe.- only one earcup has ear detection, and it is bad - it will frequently activate while my headphones are lying on my desk with nothing near the earcup, eg. stealing audio from my phone in the middle of a call- every time i put them on it’s a lottery whether or not they’ll connect to my phone or not. if they decide to connect to the wrong thing there’s no quick and easy way to tell them to connect to a different device. switching to pairing mode involves holding the on-on off switch down for 5s three times in a row which is really terrible. basically i’ve been spoiled by airpods which  follow me from device to device.",great headphones ruined by terrible usability,2.0,06 10 2022
enjayell,"these headphones are just what i was looking for. the noise cancelling is brilliant, as is the sound quality. i find them comfortable to wear, even over extended periods, my ears just get a bit warm and itchy, but i imagine any headphones would have much the same effect. i would thoroughly recommend.",great sound quality,5.0,27 03 2023
simon pedley,"these are great. the sound cancelling is very good, but also slightly disorienting, you’re so quiet. you have to stay alert on trains etc since you can’t hear announcements. the sound quality is also very good and they are very comfy, so i’m entirely happy. the one very minor gripe - i leave them by my bed, but if they get moved or jogged at all by someone else the headphones think they are being put on, and connect up to my phone even if i’m downstairs, which isn’t always ideal if i’m in the middle of something else! but a minor gripe. they are very good and i’m very pleased with them",fabulous noice cancelling headphones,5.0,07 10 2022
Mr. R. M. Davies,sound quality 8/10build quality 6.5/10noise cancelling 7/10had to return after the power button broke on my unit.returned and bought 1more sonoflow for £70 which are insanely good value at almost the same sound quality for 1/4 the price.,power button broke. had to return. good while they lasted,3.0,03 10 2022
Bas,"the actual hardware is nice, i enjoy the active noise cancellation and the ability to change it. sound quality is fine for me (as someone who doesn't too much).however! this is all ruined by the bad software and firmware. i've had to previously hard reset the headphones due to a bug with it locking up if you tried to turn it off during bluetooth connection. this is one of the few things that has actually been fixed by a firmware update. what has stayed are various other problems:- almost impossible to connect to windows 11- randomly disconnects in the middle of a meeting- needs multiple attempts to connect to a device- suddenly disables active noise cancellation (anc)ux of the headset is also not my thing. it is so easy to accidentally use the touch functionality of the headset while shifting it, thereby unmuting or unpausing music you had playing in another tab nicely during a meeting.",good hardware spoiled by software problems,1.0,02 05 2023
Aslam bin Muhammed,"recently bought this item. actually i'm really admired with sennheiser . it's gives very good noice cancellation. clyster clear sound effects and clarity. better experience with phone calls , very pure and fine clarity from other end .i would recommend.","comfortable,deep, satisfied",5.0,22 03 2023
Melly,"the physical product is great, would be 5 stars - but the software is completely useless, and e.g. keeps switching the headphones off after random intervals from 10 seconds up to 10 minutes. sennheiser refuses to take responsibility for this, and directs everyone to their buggy, broken, app-store app to 'control' the headphones -- but if you read the reviews you'll find many 1-star complaints that never get fixed. it's a low quality app full of problems.headphones that keep switching themselves off at random are just ... not useable.nb: despite all the bugs in their app, after multiple attempts i successfully got it to change the settings, and i disabled all the 'intelligent' (read: ""stupid, badly-written, badly-designed code"") features so that anc was 'always on', but ... it still switches off at random moments. terrible all round.reading forums, people have been reporting these bugs for multiple years and sennheiser simply doesn't care. this could all be fixed with a firmawre update, would take only a few weeks to do -- but after years in which they've done nothing we have to assume they have no intention of doing that. spend your money on someone else, a company that actually uses their own products and discovers/fixes the out-of-the-box obvious bugs.","noise cancelling is broken, often auto-disables, can't be fixed",1.0,24 11 2022
PhotomagBen,"funny enough, when i've started listing to the music first time with this headphones i wasn't impressed, then i put my other devices in/on my ear and quickly understood i was so wrong. they have no adjustment but yet there are very comfy, sound quality is very good in my opinion, especially after i have personalized my equalizer. they say noise cancellation is not great but i haven't fully tested it yet, they do the job and i prefer transparency mode nearly all the time.",great headphones,5.0,02 10 2022
andyellis1977,i am a bit of a fan of decent headphones and these (to my ears) are the best i have tried. i prefer the sound over the sony or apple headphones.,exceptional,5.0,28 03 2023
Amazon Customer,i used them for a week and they started disconnecting from my phone and laptop at random points. now they won't even turn on even being fully charged,don't buy - they stop turning on after a week or disconnect randomly,1.0,20 10 2023
M. MacLean,"the sound quality is sensational, the noise cancelling incredible, the build quality fantastic, the battery life excellent. i have nothing negative at all to say about these ‘phones.",all the headphones you’ll ever need.,5.0,10 03 2023
harry cartmel,"buggy as all hell. when they work they work great. but that isnt as often as you would think or like. they often show they are connected but make absolutely no sound. and resetting them doesn't always work. i had to go to redit to find a sort of ad-hock fix, which involves resetting them and charging them, even if they are still above 70%. and it doesnt always work. right now i cant get them to make any sound, or reset or do anything at all. i am very disappointed as i love sennheisers sound. also the anc is ok but not great. i am now trying a '21-30 minute to download' update. which has also crashed several times. i honestly could not recommend at this price point, and am seriously considering returning these headphones.",i cant recommend as they dont always work,1.0,26 03 2023
Cathy B.,great for blocking out the noise of our ferrel neighbours who think they are gallagher's.,great noise cancelling,5.0,15 04 2023
Spacemonkey,"these sound great bluetooth or wired, and amazing if you add a dac (i have a dragonfly red). the battery is really good, still on my first charge and i’ve been using them for about two weeks. for me they are comfy too and don’t squeeze on my ears. no complaints.",works really well with my iphone14 pro max and ipad air,5.0,03 10 2022
AK,"have been looking for a while - always loved sennheiser, but the momentum 3 was too heavy, despite great sound.  the momentum 4 offer excellent sound and comfort.  noise cancelling not quite as good as bose, but the audio blows the bose away.  very happy!",very happy!,5.0,13 10 2022
Mário Almeida,"the connectivity on these is extremely unreliable, often connects and gives no sound. can't put it on the neck while travelling because of the sensitive touch controls. no proper manual on and off, i see myself having to reset this often cause i can't seem to have them connect properly to devices. no sound in windows via bluetooth. overall great sound but a mess of software.",crappy controls and connectivity,2.0,30 11 2022
Andy Atam,"i have been using sennheiser headphones for over 40 years and these are the best that i have had. they are very comfortable, have good noise cancellation and sound good, the battery life is excellent.",very comfortable headphones,5.0,23 11 2022
Fr,"never had such an impressive set of headphones. smart fuctions, lightweight and great quality that's built to last. everything inside was extremely well packaged and also comes with a charging cable and a storage bag to protect them. the storage case its molded to sit the headphones in securely, they fold down reasonably flat. the headphones are a nice colour with the contrasting copper against the black and are compatible with any bluetooth device. they are easy to connect and paired easily to both mine and my parners phones. with fast charging they charge in no time at all. a short 10 minute charge will give you up to 6 hours of play back and a full 2 hour charge will give you up to 60 hours of battery life. the headphones look and feel really well made and of premium quality. they are fairly lightweight and comfortable to wear with a padded headband and deep cushioned ear pads, giving a good fit to your head. even worn for a few hours no discomfort was felt. you can use them for calls aswell as music. impressive how much outside noise they cancel out and how loud you can have them. with smart features; smart pause, you can remove them and it will pause your music and resumes play when back on your ears, and with smart control and tap to various places of the ear pad will control everything for you. you can download the sennheiser smart control app to personalize your music experience, fine tune your music, personalise and customise your settings to make it your own sound. the sound is so clear, no sound issues there at all. i absolutely love these headphones, easy to use, full of features, quick charging time with a long battery life and comfortable to wear. definitely an investment which is worth it.",impressive,5.0,10 10 2023
Amazon Customer,like: excellent tone and comfort.dislike: connectivity issues. started developing problems after a month. shame!,sennheiser momentum 4 headphones,1.0,13 09 2023
Gemma,bought these for my son. he thinks they are fantastic,brilliant sound,5.0,08 03 2023
Mr Usman Khan,"do not waste your time with this overrated sennheiser momentum 4 pair of anc headphones. the sound: small closed in muffled audio, limited bass, treble is dead, causes air pressure on the ears with bass and drum beats similar to airplane cabin pressure. this is all while using the aptx codec. trust me, buy the philips fidelio l3 anc over ear headphones for clear, open, detailed sound with good bass response. just don't bother using the dodgy unstable philips app. the sony wh-1000xm4 is rubbish too, don't waste your time on that unless u like muffled up sound with thick fat over the top bass....",rubbish sound quality,1.0,15 03 2023
R. Wallace,"the original momentum 4’s were quite simply unbeatable in terms of price & features vs value for money, indeed imo they only lagged those of bose and sony in their anc capability but surpassed both the latter in terms of sound quality (unmatched at this price point) and that staggering 60hr battery life.  i could write pages on that sound quality, suffice to say that it is remarkably detailed (you’d swear gilmour was in the room on listening to the opening of wish you were here), expansive, neutral and crisp. the bass is tight, never muddled and the sound staging is immense. it is as close to hearing the original as you can get. i also find them comfortable to wear, the app is fantastic (and easy to navigate) and whilst the anc isn’t quite as good as the competition, it still performs admirably. for those that don’t know, all the latter is the reason why these were tech radar’s best buy in 2022 and they received loads of 5-star, glowing reviews.as for the limited-edition model here, well, the originals were rather plain looking and these look significantly “snazzier” with the contrasting padded headband and expensive looking copper inlays, meaning, whilst their earlier cousins were discrete, these are more, look at me i own a pair! the only decision anyone looking for a best in class set of wearable, wireless headphones needs to make after reading this, is whether to opt for these and show them off, or save a few pounds and go for the originals, either way, you won’t be disappointed! 5 glorious stars.",incredible battery life and audio reproduction - best in class!,5.0,27 09 2023
Amazon Customer,"now working as expected. wireless connection maintained. wonderful, warm sound. noise cancellation is a delight.",now working perfectly !,5.0,03 02 2023
Faisal Shah,good,battery life is good and sound quality is good the issue is the app connection sometimes,5.0,31 03 2023
Ms M Brand,product was exactly as described and arrived on time. looking forward to putting to good use over christmas period. thanks!,so far so good!,5.0,21 12 2022
Amazon Customer,best headphones you can get far better than thought they would be.,awesome headphones,5.0,31 01 2023
Rayco  Santana,"is good sound ,longer battery and very content",very good,5.0,24 01 2023
allmac1,my son loves them. he's hardly had them off since christmas.,my son loves them,5.0,20 01 2023
M.S.,there's no better headphones on the market for similar price at the moment.,worth every penny,5.0,27 12 2022
MR D LOUGHENBURY,"nice fit, great sound",great headsets,5.0,19 01 2023
Willow,"in one word - phenomenal....!!!!they come in a very basic box, which i love - no excessive or unnecessary packaging to clog up landfill. less is definitely more.the headphones, wow. just....wow. i could literally write a book about how epic they are.the case is great - really sturdy offering lots of protection. they have airplane leads and adapters, a usb-a to usb - c cable and a trs cable.the are really lightweight and so comfortable to wear, even for long periods of time. the ear cushions feel plush and the build quality is first class.  sleek and minimalist design - they just look like incredibly stylish premium headphones.the noise cancellation is excellent and they block out most ambient sounds, leaving just enough to hear train/airport announcements which is great as i travel a lot. they have an anc setting which will automatically adapt to your surrounding environment and you can also adjust this on the touch controls by using a pinching motion.the sound quality and engineering is exceptional. the clarity and depth are incredible even on the 'out of the box' settings but you can easily adjust and customise within the app to suit your personal preferences and audiophiles will be able to finetune their performance.the touch control on the right earcup is quite sensitive and takes some getting used to, but once mastered it makes using the commands a breeze (you'll need to activate some commands within the app for them to work).within the app there is so much you can control in there, it's really very easy to navigate and it's packed with features which i'm still working my way around.there is just so much to like about them - the on head detection, smart pause, the touch controls, 60 hours of battery life.they really are remarkable.if you value high quality audio, comfort  - they're worth every single penny of the investment. i can't recommend them enough.","wow.....just, wow....!!!!",5.0,07 09 2023
Leo Phillips,10/10 would recommend to anyone wanting new headphones - only if you have £299 to spend on headphones of course xd.,absolutely awesome - i might be a bit biased,5.0,13 10 2022
L,"very good sound obviously from sennheiser however i would expect it for £350. the soundstage doesn't feel super wide, i can hear a lot of details that i wouldn't normally hear though. for me personally, i would like a bit more punchy bass but it isn't bad by all means.when you first start wearing it, the clamping force is quite firm on your head which gave me a bit of a headache at first. after a few hours of wearing (over several sessions) you do get used to it and/or it loosens up a bit so isn't so bad. the ear cups are a bit on the small side for me and the tips of my ears just touch the edge of the ear cups, perhaps that's more me though because the earcups are quite large. you do get a little warm wearing these, especially at the moment when we are around high 20's for the uk.the anc seems to be very good, i can't compare to the rest of the major players but compared to my previous experience, it blows it out of the water. i tested it with an air conditioning unit since i'm not hopping on a plane anytime soon and it was basically silent. noting that this ac unit was loud. i only wish that you could turn off the anc to conserve battery when passive noise isolation is sufficient.the controls are touch which you either love it or hate it. this one to be fair isn't too bad but volume controls are slightly tedious and difficult to refine so you may end up blowing your ear drums. i recommend just doing it on the device if you can. you can also customise the control from the app which is quite bad in honesty. you can do all your basic things and sign in for a more personalised profile but for me it is slow and crashes sometimes so i played around with it and haven't gone back.i do love the feature where the headphones disconnect after being idle for a while bit will reconnect when you pick them back up. it feels like a very seamless experience especially when you take them out from the case.included accessories is good but i haven't tested them so can't comment further apart from you get a charging cable, aux cable, airplane adapter and a very nice (but bulky) case.the final thing i'd like to note is that qc may not be the greatest as one of my ear cups has not been attached properly and is slightly ajar (see photo). for £350, this is unacceptable.overall, this is a great pair of headphones but i would probably give this 3.5 stars if i could just based on the price. i guess at this price, the aesthetics become part of the cost as you can definitely pick up comparable sounding headphones for less.",toastie ears,4.0,06 09 2023
Vuong,"battery life is incredible, sound quality also very good, touch controls are a bit sensitive","battery life is incredible, sound quality also very good, touch controls are a bit sensitive",5.0,05 11 2022
Anthony Meyer,"i was so excited to try these out, but then have realyb let me downthe bluetooth on the device continues to attempt to connect to other devices after i have connected to my phone and am listening to music.this is notable as, if i listen to music alone at home, i do not have an issue, but if i walk in public spaces, the audio stops and starts.i read a bunch of reviews on reddit mentioning the same thing, so clearly a bug that was not picked up in testing.unfortunately when you spending this amount on headphones, you wouldn't expect your bluetooth connection to break.would no recommend buying this product.",really dissatisfied,1.0,06 10 2022
LianaReads,"a very good sounds, you can see the high quality they have. the noise cancelling part is great and the charging is way easier than some of the previous models. highly recommended",great sounds,5.0,09 10 2023
Russell B.,"noise cancellation amazing, and sound is great. the battery life is outstanding",great balance sound,5.0,30 10 2022
Saad Moosa,really good headphones. amazing sound quality and usability.,amazing,5.0,18 11 2022
Simon Perry,"i liked these headphones at first. they are comfortable and fit well on the head without being too obtrusive (unlike other headphones). however the connection is dreadful. they won't connect to the sennheiser app. i managed to connect to my phone after a lot of trouble. but they won't connect to any other device, such as my laptop. and i can't connect to 2 devices and switch between them. i haven't had this problem with other headphones from sony and b&o, so there must be something wrong with these. also, the noise cancellation is not brilliant and lets in a lot of background noise. the more i used them, i'm afraid the more disappointed i became.",rubbish connection,1.0,03 09 2022
C. D. GRIFFITHS,"i’ve had to return two pairs of these due to connectivity issues with an iphone 13. the other problem is that when you answer a call, they usually cut it off straight away.  shame because the sound is good.",cons outweigh the pros unfortunately,2.0,27 09 2022
Dickie,"very dissatisfied with these , had one set stolen on the way to me by a sketchy delivery driver . and then waited for a second pair to arrive . low volume .terrible noise cancellation . and dated app . also no equalisation . ……. don’t bother !!!!! i am awaiting a refund .",not worth the money,1.0,12 02 2023
Mr. P. Charles,"loved my gsp650s thought the momentum 4 would be a premium headset. they are, but the moment you utilize the mic the sound stage drops sound turns to garbage. this seems like a limitation with bluetooth but the same happens with the supplied wire. as such returning these and getting a proper gaming headset with sadly, worse sound but functionally better.",do not buy for gaming,1.0,26 11 2022
Wayne,"bought these probably about 2 months ago, absolutely rubbish, they won’t come on now , so threw them in the bin , waste of money.",rubbish,1.0,12 03 2023
"""kas5239""",bought in august for my son's september birthday. they stopped working shortly after he received them. was told by amazon they had to be repaired not refunded because refund window was closed. sent to amazon approved repairer 5th october. the headphones are still not back. disappointed with the quality of the product and how it's being dealt with by amazon. i would like a refund for the bother and disappointment.,headphones developed a fault very quickly,1.0,30 10 2022
Suzi Edwards-Alexander,"bought two pairs. returned one pair because they wouldn't reliably turn on or pair. but the design of the controls is just terrible. the touch panel keeps getting bumped and doing things, it randomly turns the mic on and off during calls. there is only a single physical button that you have to hold in for different lengths of time to do anything.they sound good, but are unusable so that's irrelevant. avoid.",unusable and unreliable,1.0,15 09 2022
Seb K,"the sound quality, build, battery life  and noise cancellation are all great. the headphones are let down by the power button that never works, frequently requiring a hard reset taking 30secs or more to switch the headphones back on. 2 firmware updates in and i still have the issue. would not recommend.",great headphones. let down by power button issues,1.0,16 11 2022
